title,tag,weather,time,cost,copy,copy_one,copy_two,DateNumber,neighborhood,link
SixtyFive Terrace,Bar,Warm,Day and Night,$$$,You should...,have a drink at SixtyFive Terrace on top of 30 Rock,and tell your date there's nothing between them and the stars. ,Any,M,http://www.rainbowroom.com/sixtyfive/
Batting cages @ Randall's Island,Activity,Warm,Day,$,You should...,go to the batting cages at Randall's Island,and share a pouch of Big League Chew.,Any,N,http://www.randallsislandgolfcenter.com/
Randolph Brooklyn,Bar,All,Day and Night,$$$,You should...,enjoy a beer Randolph Brooklyn,and don't feel bad that the bar is trendier than you.,Any,B,http://www.randolphnyc.com/
Randolph Beer,Bar,All,Day and Night,$$$,You should...,go to Randolph Beer in Little Italy,and try to coordinate your bathroom breaks. ,Any,M,http://www.randolphnyc.com/
Red Lobster Times Square,Restaurant,All,Day and Night,$$,You should...,go to Red Lobster Times Square,You won't.,Any,M,http://www.redlobster.com/locations/default.aspx?q=10036&RestaurantID=6298&cmpid=rl_ll_google
Massage at Renew Day Spa in Chinatown,Activity,All,Day and Night,$$,You should...,get Chinatown massages together,and use what you learned on each other. ,Dating,M,http://www.renewdayspa.net/
Hearth,Restaurant,All,Day and Night,$$$,You should...,eat at Hearth in the East Village,and don't be afraid to fail. ,Any,M,http://www.restauranthearth.com/
Root & Bone,Restaurant,All,Day and Night,$$,You should...,go to Root & Bone in Alphabet City,and then smooch and bone. ,Any,M,http://www.rootnbone.com/
Record shopping @ Rough Trade,Activity,All,Day,$,You should...,shop for vinyl at Rough Trade in Williamsburg,and buy some baby-making music.,2+,B,http://www.roughtradenyc.com/
Royal Palms Shuffleboard Club,Activity,All,Day and Night,$$,You should...,play shuffleboard at Royal Palms in Gowanus,and then pretend you know how to read each other's palms.,2+,B,http://www.royalpalmsshuffle.com/
Russ & Daughters,Activity,All,Day and Night,$$,You should...,sample the foods at Russ & Daughters on Houston,and force your date to eat the weirdest thing on the menu. ,Any,M,http://www.russanddaughters.com/
Salinas,Restaurant,All,Day and Night,$$$,You should...,eat at Salinas in Chelsea,but don't let that be the end of your night. ,Any,M,http://www.salinasnyc.com/
Saltie,Coffee,All,Day,$,You should...,get coffee at Saltie in Williamsburg,and tell your date you think they're sweet. ,Any,B,http://www.saltieny.com/
Vintage shopping @ Salvation Army 4th Ave,Activity,All,Day,$,You should...,try on some secondhand clothes at the Salvation Army on 4th Ave,and buy some tearaway pants. ,2+,M,http://www.salvationarmyusa.org/
Vintage shopping @ Salvation Army Atlantic Avenue,Activity,All,Day,$,You should...,go shopping at the Salvation Army on Atlantic Avenue,and find a private moment among the racks.,2+,B,http://www.salvationarmyusa.org/
Vintage shopping @ Salvation Army 8th Ave,Activity,All,Day,$,You should...,pop some tags at the Salvation Army on 8th Ave,and this is fucking awesome. ,2+,M,http://www.salvationarmyusa.org/
Schnitz,Restaurant,All,Day and Night,$$,You should...,go to Schnitz in the East Village,and say why you asked your date out. ,Any,M,http://www.schnitznyc.com/
Sergimmo Salumeria,Restaurant,All,Day and Night,$$,You should...,go to Sergimmo Salumeria on 9th Avenue,and don't forget your manners. ,Any,M,http://www.sergimmo.com/site/
Shopsin's,Restaurant,All,Day and Night,$$,You should...,eat at Shopsin's on the LES,and try to make your date comfortable. ,Any,M,http://www.shopsins.com/
Showman's,Activity,All,Day and Night,$$,You should...,go see jazz at Showman's in Harlem,and then show each other your naughty parts. ,2+,M,http://www.showmansjazzclub.com/
The Shrine,Activity,All,Day and Night,$,You should...,go see some music at The Shrine in Harlem,and then worship at the church of your date's body. ,2+,M,http://www.shrinenyc.com/
Staten Island Ferry,Activity,Warm,Day and Night,Free,You should...,take the Staten Island Ferry on a nice day,and see which of you can strike a better Statue of Liberty pose.,Any,M,http://www.siferry.com/
Sigmund's Pretzels,Restaurant,All,Day and Night,$,You should...,go to Sigmund's Pretzels on Avenue B,and get twisted up in bed. ,Any,M,http://www.sigmundnyc.com/
Smalls Jazz Club,Activity,All,Night,$$,You should...,go to Smalls Jazz Club in the West Village,and take your love from small to large. ,2+,M,http://www.smallsjazzclub.com/
Smorgasburg Brooklyn Heights,Activity,Warm,Day,$$,You should...,go people-watching at Smorgasburg in Brooklyn Bridge Park,and draft a fantasy team of your favorite five people there.,Any,B,http://www.smorgasburg.com/
Smorgasburg Williamsburg,Activity,Warm,Day,$$,You should...,wait in line at Smorgasburg in Williamsburg,and lose each other in the crowd... then find each other again.,Any,B,http://www.smorgasburg.com/
Society Billiards,Activity,All,Day and Night,$$,You should...,rack 'em up at Society Billiards in Flatiron,"and ""accidentally"" get some chalk on your date.",Any,M,http://www.societybilliards.com/
Souvlaki GR,Restaurant,All,Day and Night,$$,You should...,go to Souvlaki GR on the LES,and hold hands on your way out. ,Any,M,http://www.souvlakigr.com/
Spasso,Restaurant,All,Day and Night,$$$,You should...,get Italian at Spasso in the West Village,and then do some light spanking. ,Any,M,http://www.spassonyc.com/#about
Speedy Romeo,Restaurant,All,Day and Night,$$,You should...,eat at Speedy Romeo in Clinton Hill,and take your time. Enjoy each other's company. ,Any,B,http://www.speedyromeo.com/
Biergarten at the Standard,Bar,Warm,Day and Night,$$$,You should...,go to the Standard Biergarten,"and take turns saying, ""These pretzels are making me thirsty.""",2+,M,http://www.standardhotels.com/high-line/food-drink/biergarten
St. Andrew's,Bar,All,Day and Night,$$,You should...,drink scotch at St. Andrew's in Midtown,and discuss your religious views. ,Any,M,http://www.standrewsnyc.com/
Storm King Art Center,Activity,Warm,Day,$$$,You should...,rent a car and head to Storm King Art Center,and take selfies with the sculptures.,2+,N,http://www.stormking.org/
Stout,Bar,All,Day and Night,$$,You should...,have a stout at Stout by Penn Station,and discuss generational standards of beauty. ,Any,M,http://www.stoutnyc.com/
Strip House,Restaurant,All,Day and Night,$$$,You should...,go to Strip House in Midtown,"and no, it's not a strip club. ",Any,M,http://www.striphouse.com/
Sullivan St Bakery,Restaurant,All,Day and Night,$,You should...,go to Sullivan Street Bakery,and only get baked before if you'll like it. ,Any,M,http://www.sullivanstreetbakery.com/
Sunny's,Bar,All,Day and Night,$,You should...,have a drink at Sunny's in Red Hook,"and have a sunny disposition, even though this is New York. ",Any,B,http://www.sunnysredhook.com/
Sushi Seki,Restaurant,All,Day and Night,$$$,You should...,go to Sushi Seki on the Upper East Side,and don't let your eyes widen when you see the bill. ,Any,M,http://www.sushiseki.com/
Sweet Revenge,Restaurant,All,Day and Night,$$,You should...,eat at Sweet Revenge in the West Village,and discuss the ethics of revenge. ,Any,M,http://www.sweetrevengenyc.com/
Sycamore,Bar,All,Day and Night,$$,You should...,buy your date a bourbon at Sycamore in Flatbush,and then buy your date some flowers there. ,Any,B,http://www.sycamorebrooklyn.com/
Taim West Village,Restaurant,All,Day and Night,$,You should...,eat at Taim West Village,and it'll be time to jump each other. ,Any,M,http://www.taimfalafel.com/
Taim Nolita,Restaurant,All,Day and Night,$,You should...,eat at Taim Nolita,and it'll be time to get busy. ,Any,M,http://www.taimfalafel.com/menu
Tehuitzingo,Restaurant,All,Day and Night,$,You should...,get tacos at Tehuitzingo in Hell's Kitchen,y vas a enamorarte,Any,M,http://www.tehuitzingo.net/Welcome.tpl?action=nc&from=Top133
Tenement Museum,Activity,All,Day,$$,You should...,make a reservation at the Tenement Museum,and see how much better you have it than they did. ,Any,M,http://www.tenement.org/
Terminal 5,Activity,All,Night,$$,You should...,see a show at Terminal 5,and grind with your date during the set.,2+,M,http://www.terminal5nyc.com/
The Marshal,Restaurant,All,Day and Night,$$,You should...,eat at The Marshal in Hell's Kitchen,"and wander around after, with no destination in mind. ",Any,M,http://www.the-marshal.com/
The Adirondack,Bar,All,Day and Night,$$,You should...,have a craft brew at The Adirondack in Windsor Terrace,and ask your date about their boss. ,Any,B,http://www.theadirondackbar.com/
The Bar Room,Bar,All,Day and Night,$$$,You should...,go to The Bar Room on East 60th,"and ""accidentally"" brush your leg against your date's. ",Any,M,http://www.thebarroomnyc.com/
Bell House,Activity,All,Night,$$,You should...,go see a show at Bell House in Gowanus,and then talk about the house you grew up in. ,2+,B,http://www.thebellhouseny.com/
The Blue Stove,Coffee,All,Day,$,You should...,get coffee at The Blue Stove in Williamsburg,"and play ""Would You Rather?""",Any,B,http://www.thebluestove.com/
The City Bakery,Restaurant,All,Day,$,You should...,go to The City Bakery in Flatiron,and then make out outside your date's apartment. ,Any,M,http://www.thecitybakery.com/
East Pole,Bar,All,Day and Night,$$$,You should...,have a drink at East Pole on the Upper East,and debate the existence of Santa Claus.,Any,M,http://www.theeastpolenyc.com/home/
The Eddy,Restaurant,All,Day and Night,$$,You should...,eat at The Eddy in the East Village,but not if your date's named Eddie. ,Any,M,http://www.theeddynyc.com/
The Finch,Restaurant,All,Day and Night,$$$,You should...,eat at The Finch in Clinton Hill,"and kiss your date lightly, pull your head back, then kiss some more. ",Any,B,http://www.thefinchnyc.com/
Four Faced Liar,Bar,All,Day and Night,$,You should...,have a drink at Four Faced Liar in the West Village,and promise not to lie for the entire date. ,Any,M,http://www.thefour-facedliar.com/
The Gander,Restaurant,All,Day and Night,$$,You should...,eat at The Gander in Flatiron,and take a walk after. ,Any,M,http://www.thegandernyc.com/
The Growler,Bar,All,Day and Night,$$,You should...,have a drink at The Growler on Stone Street,and get ready to make animal noises later that night. ,Any,M,http://www.thegrowlernyc.com/
Bowling @ The Gutter,Activity,All,Night,$$,You should...,go bowling at the Gutter in Williamsburg,and invent an elaborate celebration for when you get a strike.,Any,B,http://www.thegutterbrooklyn.com/
The Heights Bar & Grill,Bar,All,Day and Night,$$,You should...,go to The Heights Bar & Grill in Morningside Heights,and ask your date about the tallest and shortest people they've dated. ,Any,M,http://www.theheightsnyc.com/
Highline,Activity,Warm,Day and Night,Free,You should...,walk along the Highline,and enjoy the fresh air and a little handholding.,Any,M,http://www.thehighline.org/
Little Owl,Restaurant,All,Day and Night,$$$,You should...,eat at Little Owl in the West Village,and then have a little naughty fun. ,Any,M,http://www.thelittleowlnyc.com/
The Mermaid Inn,Restaurant,All,Day and Night,$$$,You should...,eat at The Mermaid Inn in the East Village,and discuss what makes you jealous. ,Any,M,http://www.themermaidnyc.com/
The Nomad Bar,Bar,All,Night,$$$,You should...,go to The Nomad Bar in... NoMad,and talk about where you'd like to travel to. ,Any,M,http://www.thenomadhotel.com/#!/dining/the-nomad-bar
The Owl Farm,Bar,All,Day and Night,$$,You should...,have a seasonal beer at The Owl Farm in Park Slope,and stay up all night with your date. ,Any,B,http://www.theowlfarm.com/
The Pines,Restaurant,All,Day and Night,$$,You should...,eat at The Pines in Gowanus,and pack a charger so your phone isn't dead in the morning. ,Any,B,http://www.thepinesbk.com/
The Press Lounge,Bar,Warm,Day and Night,$$$,You should...,go to The Press Lounge in Hell's Kitchen,and make out aggressively.,Any,M,http://www.thepresslounge.com/
Stag's Head,Bar,All,Day and Night,$$,You should...,drink beer at Stag's Head in Midtown,and do NOT tell that story about when you went stag to a wedding but got head anyway. ,Any,M,http://www.thestagsheadnyc.com/
The West,Coffee,All,Day,$,You should...,go to The West in Williamsburg,and check out your date's butt when they walk to the bathroom. ,Any,B,http://www.thewestbrooklyn.com/
The Wren,Bar,All,Day and Night,$$,You should...,grab a drink at The Wren on Bowery,and talk about your favorite person in the bar.,Any,M,http://www.thewrennyc.com/
Republic,Restaurant,All,Day and Night,$$,You should...,go to Republic in Union Square,"and if things don't go well, hit on one of the NYU students there.",Any,M,http://www.thinknoodles.com/
Third Rail Coffee (Sullivan St),Coffee,All,Day,$,You should...,go to Third Rail Coffee (Sullivan St),and follow each other on Spotify. ,Any,M,http://www.thirdrailcoffee.com/
Variety Coffee,Coffee,All,Day,$,You should...,go to Variety Coffee in Bushwick,and tell stories about nightmare first dates. ,Any,B,http://www.thrillist.com/venues/variety-coffee-11237
Top of the Rock,Activity,Warm,Day and Night,$$,You should...,take in the sights on Top of the Rock,and share a kiss above the city. ,Any,M,http://www.topoftherocknyc.com/
Torst,Bar,All,Day and Night,$$,You should...,have a Danish beer at Torst in Greenpoint,and then get turnt. ,Any,B,http://www.torstnyc.com/
Trinity Place,Bar,All,Day and Night,$$,You should...,go to Trinity Place Bar in FiDi,and talk about if you think we're in the Matrix. ,Any,M,http://www.trinityplacenyc.com/
Tulcingo Del Valle,Restaurant,All,Day and Night,$,You should...,debes ir a Tulcingo Del Valle en Hell's Kitchen,y vas a besar despues. ,Any,M,http://www.tulcingorestaurant.com/
Tuome,Restaurant,All,Day and Night,$$,You should...,eat at Tuome in the East Village,and then go meet your date's pet. ,Any,M,http://www.tuomenyc.com/
Umami Burger Williamsburg,Restaurant,All,Day and Night,$$,You should...,go to Umami Burger Williamsburg,and don't look around the room at other people. ,Any,B,http://www.umamiburger.com/
Umami Burger Greenwich Village,Restaurant,All,Day and Night,$$,You should...,go to Umami Burger Greenwich Village,and make your date feel special. ,Any,M,http://www.umamiburger.com/
The Uncommons,Activity,All,Day and Night,$,You should...,get coffee at The Uncommons in the Village,and kick your date's ass at some board games.,Any,M,http://www.uncommonsnyc.com/
Union Hall,Activity,All,Night,$$,You should...,go see a show at Union Hall in Park Slope,and then make a carnal union. ,2+,B,http://www.unionhallny.com/
Upland,Restaurant,All,Day and Night,$$,You should...,grab dinner at Upland in Flatiron,and realize your date is not their job. ,Any,M,http://www.uplandnyc.com/
Valhalla,Bar,All,Day and Night,$$,You should...,have a drink at Valhalla in Hell's Kitchen,and try to guess your date's favorite song. ,Any,M,http://www.valhallabarnyc.com/
Veselka,Restaurant,All,Day and Night,$$,You should...,go to Veselka in the East Village,and ask when you can get a copy of their key. ,Any,M,http://www.veselka.com/
Via Carota,Restaurant,All,Day and Night,$$,You should...,grab dinner at Via Carota in the West Village,"and play ""Truth or Dare.""",Any,M,http://www.viacarota.com/
Vintry Wine & Whiskey,Bar,All,Day and Night,$$$,You should...,go to Vintry Wine & Whiskey on Stone Street,and make sure your date doesn't see the bottom of their glass. ,Any,M,http://www.vintrynyc.com/
Webster Hall,Activity,All,Night,$$,You should...,go to a show at Webster Hall,and ask your date what they'd name their band. ,2+,M,http://www.websterhall.com/
Whole Foods Class Bowery,Activity,All,Day and Night,$$$,You should...,take a cooking class at the Whole Foods on Bowery,and then have some organic love-making. ,2+,M,http://www.wholefoodsmarket.com/events?store=6572
Terroir Tribeca,Restaurant,All,Day and Night,$$,You should...,eat at Terroir Tribeca,and ask your date about their mother. ,Any,M,http://www.wineisterroir.com/
Skating at Wollman Rink,Activity,Cold,Day,$$,You should...,go ice skating at Wollman Rink,and help each other with your skates.,Any,M,http://www.wollmanskatingrink.com/
Woodrow's,Bar,All,Day and Night,$$,You should...,have a beer at Woodrow's in Tribeca,and make a plan for your next date. ,Any,M,http://www.woodrowsnyc.com/f_index.shtml
Abbey Pub,Bar,All,Day and Night,$$,You should...,go to Abbey Pub on the Upper West Side,and talk about what kind of bar you'd run if you owned one. ,Any,M,http://www.yelp.com/biz/abbey-pub-new-york
Bohemian,Restaurant,All,Day and Night,$$$,You should...,go to Bohemian Restaurant,but only if you know someone. It's referral only. ,Any,M,http://www.yelp.com/biz/bohemian-restaurant-new-york
Don Pepe's Tortas & Jugos,Restaurant,All,Day and Night,$,You should...,go to Don Pepe's Tortas & Jugos in Sunset Park,and don't think about the prevalence of STDs in New York. ,Any,B,http://www.yelp.com/biz/don-pepe-tortas-and-jugos-brooklyn
Empire Hotel roof,Bar,Warm,Day and Night,$$$,You should...,go to the Empire Hotel roof bar,and shout things from the top. ,Any,M,http://www.yelp.com/biz/empire-hotel-rooftop-new-york
Fanelli's Cafe,Restaurant,All,Day and Night,$$,You should...,go to Fanelli's Cafe in Soho,and be vulnerable. ,Any,M,http://www.yelp.com/biz/fanellis-cafe-new-york
K-Bap,Restaurant,All,Day and Night,$$,You should...,eat at K-Bap in Midtown,and don't think about the other people your date has had sex with. ,Any,M,http://www.yelp.com/biz/k-bap-new-york
Kyo Ya,Restaurant,All,Day and Night,$$$,You should...,fork over your paycheck to eat at Kyo Ya in the East Village,and wear your best perfume/deodorant/cologne. ,Any,M,http://www.yelp.com/biz/kyo-ya-new-york
Lounge 108,Bar,All,Day and Night,$$,You should...,go to Lounge 108 in East Harlem,and sit up straight because posture's important. ,Any,M,http://www.yelp.com/biz/lounge-108-new-york
McSorley's,Bar,All,Day and Night,$,You should...,go to McSorley's,and play a game with your date where you spot the tourists.,Any,M,http://www.yelp.com/biz/mcsorleys-old-ale-house-new-york
Middle Branch,Bar,All,Day and Night,$$,You should...,drink at Middle Branch in Midtown,and then get into each other's middle parts. ,Any,M,http://www.yelp.com/biz/middle-branch-new-york
Peter McManus,Bar,All,Day and Night,$$,You should...,have a brew at Peter McManus in Chelsea,"but not if your date's named Peter, cuz that'd be weird. ",Any,M,http://www.yelp.com/biz/peter-mcmanus-cafe-new-york
Pinche Taqueria,Restaurant,All,Day and Night,$,You should...,go to Pinche Taqueria in Noho,"that means ""Fucking Taco Place"" in Spanish. ",Any,M,http://www.yelp.com/biz/pinche-taqueria-new-york-2
Subway Inn,Bar,All,Day and Night,$$,You should...,drink at Subway Inn on the Upper East,and then take a cab back to your date's apartment. ,Any,M,http://www.yelp.com/biz/subway-inn-new-york-4
Taqueria Izucar,Restaurant,All,Day and Night,$,You should...,go to Taqueria Izucar in Bushwick,and grab your date's neck when you kiss them. ,Any,B,http://www.yelp.com/biz/taqueria-izucar-brooklyn
Freak Bar,Bar,All,Day and Night,$,You should...,go to Freak Bar on Coney Island,and then get freaky.,Any,B,http://www.yelp.com/biz/the-freak-bar-new-york
The Levee,Bar,All,Day and Night,$,You should...,have a drink at The Levee in Williamsburg,and don't break down in front of your date. ,Any,B,http://www.yelp.com/biz/the-levee-brooklyn
The Patriot,Bar,All,Day and Night,$,You should...,drink cheap beer at The Patriot in FiDi,"and tell your date to dress in red, white, and blue.",Any,M,http://www.yelp.com/biz/the-patriot-saloon-new-york
Record shopping @ The Thing,Activity,All,Day,$,You should...,go vinyl shopping at The Thing in Greenpoint,and pretend you have a record player.,2+,B,http://www.yelp.com/biz/the-thing-brooklyn
Two Bits Retro Arcade,Activity,All,Day and Night,$$,You should...,get a beer at Two Bits Retro Arcade on the LES,and let video games be your aphrodisiac.,Any,M,http://www.yelp.com/biz/two-bits-retro-arcade-new-york
White Horse Tavern (FiDi),Bar,All,Day and Night,$,You should...,get a drink at White Horse Tavern in the West Village,and drink drinks until you and your date are drunk. ,Any,M,http://www.yelp.com/biz/white-horse-tavern-financial-district-new-york
Zoralie,Restaurant,All,Day and Night,$,You should...,get a meal at Zoralie in Hell's Kitchen,and give your date a chance. ,Any,M,http://www.yelp.com/biz/zoralie-restaurant-new-york?osq=dinner
Wythe Hotel,Bar,Warm,Day and Night,$$,You should...,go to the Wythe Hotel Bar in Williamsburg,"and maybe book a room, too. For after.",Any,B,http://wythehotel.com/the-ides/
Xi'an Famous Foods 34,Restaurant,All,Day and Night,$,You should...,go to Xi'an Famous Foods 34th Street,and ask follow-up questions. ,Any,M,http://xianfoods.com/
Xi'an Famous Foods UWS,Restaurant,All,Day and Night,$,You should...,go to Xi'an Famous Foods UWS,and don't think about ticking biological clocks. ,Any,M,http://xianfoods.com/
Xi'an Famous Foods UES,Restaurant,All,Day and Night,$,You should...,go to Xi'an Famous Foods UES,and find something about your date to compliment. ,Any,M,http://xianfoods.com/
Xi'an Famous Foods Greenpoint,Restaurant,All,Day and Night,$,You should...,go to Xi'an Famous Foods Greenpoint,and get along famously with your date. ,Any,B,http://xianfoods.com/
Xi'an Famous Foods Williamsburg,Restaurant,All,Day and Night,$,You should...,go to Xi'an Famous Foods Williamsburg,and have conversation that's as spicy as the noodles. ,Any,B,http://xianfoods.com/
Xi'an Famous Foods Chinatown,Restaurant,All,Day and Night,$,You should...,go to Xi'an Famous Foods Chinatown,and realize you both hate getting stuck behind slow walkers. ,Any,M,http://xianfoods.com/
Xi'an Famous Foods 45,Restaurant,All,Day and Night,$,You should...,go to Xi'an Famous Foods 45th Street,and slurp when you eat your noodles. It's good manners. ,Any,M,http://xianfoods.com/
Xi'an Famous Foods EV,Restaurant,All,Day and Night,$,You should...,go to Xi'an Famous Foods East Village,and then kiss each other. ,Any,M,http://xianfoods.com/
Xixa,Restaurant,All,Day and Night,$$$,You should...,eat at Xixa in Williamsburg,and talk about all the things you have in common. ,Any,B,http://xixany.com/
XO Kitchen,Restaurant,All,Day and Night,$,You should...,go to XO Kitchen in Chinatown,and make some real-life XO afterward. ,Any,M,http://xokitchen.com/
Dance class @ You should be dancing,Activity,All,Day and Night,$,You should...,take a dance class at You Should Be Dancing,and do lots of twirls.,2+,M,http://youshouldbedancing.nyc/
Yunnan Kitchen,Restaurant,All,Day and Night,$$,You should...,go to Yunnan Kitchen on the LES,and suggest you two cook something together for your next date. ,Any,M,http://yunnankitchen.com/
Zabb Elee,Restaurant,All,Day and Night,$$,You should...,get Thai at Zabb Elee in the East Village,and don't wear clashing patterns. ,Any,M,http://zabbelee.com/contents/home.html
Zenkichi,Restaurant,All,Day and Night,$$$,You should...,get dinner at Zenkichi in Williamsburg,and have some scented candles ready for later. ,Any,B,http://zenkichi.com/
Blue Bottle Williamsburg,Coffee,All,Day,$$,You should...,go to Blue Bottle Coffee Williamsburg,"and say ""Blue Bottle"" with a British accent... It sounds like ""Blue Butthole.""",Any,B,https://bluebottlecoffee.com/cafes/berry-st
Blue Bottle Chelsea,Coffee,All,Day,$$,You should...,go to Blue Bottle Coffee Chelsea,and talk about your ideal second date. ,Any,M,https://bluebottlecoffee.com/cafes/chelsea
Blue Bottle Hell's Kitchen,Coffee,All,Day,$$,You should...,go to Blue Bottle Coffee Hell's Kitchen,and ask your date if they want to kiss before you take a sip of coffee. ,Any,M,https://bluebottlecoffee.com/cafes/hells-kitchen
Clinton St Baking Company,Restaurant,All,Day and Night,$$,You should...,go to Clinton St Baking Company,"and get baked before, if your date's into that. ",Any,M,https://clintonstreetbaking.com/
Monologue practice for Fallon,Activity,All,Day,Free,You should...,go to monologue practice for Jimmy Fallon,and let someone else make your date laugh.,2+,M,https://fallon.1iota.com/show/353/The-Tonight-Show-starring-Jimmy-Fallon
Little Branch,Bar,All,Night,$$$,You should...,drink a cocktail at Little Branch in the West Village,and sit on the same side of the booth.,Any,M,https://plus.google.com/100495265516664466121/about?gl=us&hl=en
River Deli,Restaurant,All,Day and Night,$$$,You should...,have dinner at River Deli in Brooklyn Heights,and bring some cash because this panty-dropper doesn't take cards.,Any,B,https://plus.google.com/103018792566068288986/about?gl=us&hl=en
Soto,Restaurant,All,Day and Night,$$$,You should...,get sushi at Soto in the West Village,and ask your date what music they like right now. ,Any,M,https://plus.google.com/103280613489834427299/about?gl=us&hl=en
The Magician,Bar,All,Night,$,You should...,drink at The Magician on the LES,and put something hilarious on the jukebox.,Any,M,https://plus.google.com/103799641407278845040/about?gl=us&hl=en
Dynaco,Bar,All,Day and Night,$$,You should...,get drinks at Dynaco in Bed-Stuy,and be as dynamic as possible. ,Any,B,https://plus.google.com/104273346181465709168/about?gl=us&hl=en
Tip Top,Bar,All,Day and Night,$,You should...,drink at Tip Top in Bed-Stuy,and maybe later you can play just the tip. ,Any,B,https://plus.google.com/104615888365283343168/about?gl=us&hl=en
YoYo Fritaille,Restaurant,All,Day and Night,$$,You should...,eat at YoYo Fritaille in Flatbush,and swap some bodily fluids. ,Any,B,https://plus.google.com/104654797528421580663/about?gl=us&hl=en
JG Melon,Bar,All,Day and Night,$$,You should...,have a burger and a beer at JG Melon on the Upper East Side,and lock eyes when you say cheers. ,Any,M,https://plus.google.com/104933563027646747675/about?gl=us&hl=en
Old Stanley's,Bar,All,Day and Night,$$,You should...,pay cash for beer at Old Stanley's in Bushwick,and appreciate being young. ,Any,B,https://plus.google.com/105102555861949132022/about?gl=us&hl=en
Grassroots Tavern,Bar,All,Night,$,You should...,go to Grassroots Tavern on St. Marks,and try not to gentrify it while you're there.,Any,M,https://plus.google.com/105107002011017629623/about?gl=us&hl=en
B&K Fish Mini Market,Restaurant,All,Day and Night,$$,You should...,go to B&K Fish Mini Market in Bushwick,and don't make any jokes about the smell. ,Any,B,https://plus.google.com/105240363448028957947/about?gl=us&hl=en
Turkey's Nest,Bar,All,Day and Night,$,You should...,have a huge drink at Turkey's Nest in Williamsburg,and then go back to your date's nest. ,Any,B,https://plus.google.com/105245976873403612139/about?gl=us&hl=en
Soccer Tavern,Bar,All,Day and Night,$,You should...,play darts at Soccer Tavern in Sunset Park,"but don't worry, it's not actually a soccer tavern. ",Any,B,https://plus.google.com/105286819424216099479/about?gl=us&hl=en
La Savane,Restaurant,All,Day and Night,$$,You should...,go to La Savane in Harlem,but check your hair in the mirror before you go. ,Any,M,https://plus.google.com/106257141280222779306/about?gl=us&hl=en
Defonte's,Restaurant,All,Day and Night,$$,You should...,go to Defonte's Sandwiches in Red Hook,and let your date know it's OK to get messy. ,Any,B,https://plus.google.com/108710995894767089705/about?gl=us&hl=en
Hot Bird,Bar,All,Day and Night,$$,You should...,sip a drink at Hot Bird in Clinton Hill,and enjoy the baby-free atmosphere.,Any,B,https://plus.google.com/109316959591959103344/about?gl=us&hl=en
Super Taste,Restaurant,All,Day and Night,$,You should...,go to Super Taste in Chinatown,and have a super good time. ,Any,M,https://plus.google.com/110948572717669557607/about?gl=us&hl=en
Bia,Bar,Warm,Day and Night,$,You should...,have a drink at Bia in Williamsburg,and do you remember when Howard Dean shouted BYAH?,Any,B,https://plus.google.com/111144802742455836451/about?gl=us&hl=en
Brooklyn Ice House,Bar,All,Day and Night,$,You should...,get drunk at Brooklyn Ice House in Red Hook,and talk about the house you grew up in. ,Any,B,https://plus.google.com/111333235908693112409/about?gl=us&hl=en
Mofongo Del Valle,Restaurant,All,Day and Night,$,You should...,eat at Mofongo Del Valle in Harlem,and make sure your sheets are freshly washed. ,Any,M,https://plus.google.com/111343644643691325359/about?gl=us&hl=en
El Beit,Coffee,All,Day,$,You should...,get an espresso at El Beit in Williamsburg,and ask if your date has a best friend. ,Any,B,https://plus.google.com/111705048600588957768/about?gl=us&hl=en
Happyfun Hideaway,Bar,All,Day and Night,$,You should...,drink drinks at Happyfun Hideaway in Bushwick,and debate whether the name is a euphemism for a vagina. ,Any,B,https://plus.google.com/111983458209496832792/about?gl=us&hl=en
The Commodore,Restaurant,All,Day and Night,$$,You should...,get fried chicken at The Commodore in Williamsburg,and bat your eyelashes at your date. ,Any,B,https://plus.google.com/112671427025672330262/about?gl=us&hl=en
Whynot Coffee,Coffee,All,Day and Night,$,You should...,go to Whynot Coffee on the LES,and speak so softly your date has to lean in to hear you. ,Any,M,https://plus.google.com/113407733808495549890/about?gl=us&hl=en
Sharlene's,Bar,All,Day and Night,$,You should...,have a draft at Sharlene's in Prospect Heights,and make friends with someone else there. ,Any,B,https://plus.google.com/114055337040293231079/about?gl=us&hl=en
Black Brick,Coffee,All,Day,$,You should...,go to Black Brick Coffee in Williamsburg,and ask if your date has any tattoos. ,Any,B,https://plus.google.com/114409378301814971605/about?gl=us&hl=en
Holland Bar,Bar,All,Night,$,You should...,go to Holland Bar near Port Authority,and pretend to be Dutch tourists who are horribly disappointed.,Any,M,https://plus.google.com/114518201955737926288/about?gl=us&hl=en
Rama's Roti Shop,Restaurant,All,Day and Night,$$,You should...,go to Rama's Roti Shop in Flatbush,and both your mouths will taste the same when you kiss. ,Any,B,https://plus.google.com/114608389029012416650/about?gl=us&hl=en
The Alibi,Bar,All,Day and Night,$,You should...,drink cheap beer at The Alibi in Fort Greene,and talk about your favorite crime shows.,Any,B,https://plus.google.com/115186713736997315169/about?gl=us&hl=en
Country Panfried Chicken,Restaurant,All,Day and Night,$$,You should...,go to Country Panfried Chicken in Harlem,and talk about what name you'd give to a country if you were president. ,Any,M,https://plus.google.com/115398255051743448747/about?gl=us&hl=en
